vendor_id,name,description,price_cents,category_slug,product_type,image_url,coa_url,ship_to_states,status,hemp_derived_attestation,delta8_disclaimer_ack
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Crest Tee — Back Crest Natural,"The GHD Hemp Crest Tee — Back Crest Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton heavyweight jersey with a boxy relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Monogram Tee — Charcoal Tonal,"The GHD Hemp Monogram Tee — Charcoal Tonal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a boxy relaxed fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7200,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Pocket Tee — Sage Garment-Dyed,"The GHD Hemp Pocket Tee — Sage Garment-Dyed is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton slub jersey with a relaxed pocket tee fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",5200,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Split Panel Tee — Natural Clay,"The GHD Hemp Split Panel Tee — Natural Clay is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed color-block fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6800,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Wave Graphic Tee — Natural Ocean,"The GHD Hemp Wave Graphic Tee — Natural Ocean is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed streetwear fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6000,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Sleeve Script Long Sleeve — Natural,"The GHD Hemp Sleeve Script Long Sleeve — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7400,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Heritage Stripe Long Sleeve — Sage Stripe,"The GHD Hemp Heritage Stripe Long Sleeve — Sage Stripe is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton knit with a relaxed rugby-style fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7800,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Monogram Cuff Long Sleeve — Charcoal,"The GHD Hemp Monogram Cuff Long Sleeve — Charcoal is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a relaxed long sleeve fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7600,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Vintage Wash Long Sleeve — Dusk Blue,"The GHD Hemp Vintage Wash Long Sleeve — Dusk Blue is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 55% hemp / 45% organic cotton jersey with a relaxed vintage-wash fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",7000,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
debf6809-dbb4-4987-aabe-60c5fdf7ab49,GHD Hemp Oversized Crest Tee — Natural,"The GHD Hemp Oversized Crest Tee — Natural is a premium hemp-based piece built for clean daily wear and long-term durability. It uses 100% hemp jersey with a oversized boxy fit profile, finished with Good Hemp Distros branding in a polished, sustainability-forward direction. Care is simple: machine wash cold, wash with like colors, and hang dry or tumble low to preserve shape and color. Made for people who want natural materials, better design, and a brand with purpose.",6400,clothing,non_intoxicating,,,"AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC",pending_review,true,
